Town,County,Per capita income,Location,Lat,Lon
"King of Prussia, Pennsylvania",Montgomery County,"$32,070 ","King of Prussia, Montgomery County, Pennsylvania, USA",40.0908111,-75.3832484
"Richboro, Pennsylvania",Bucks County,"$31,954 ","Richboro, Cameo Drive, Northampton Township, Bucks County, Pennsylvania, 18954, USA",40.229682,-74.99948892
"Harris Township, Pennsylvania",Centre County,"$31,904 ","Harris Township, Centre County, Pennsylvania, 16827, USA",40.7703935,-77.77483219
"McCandless, Pennsylvania",Allegheny County,"$31,792 ","McCandless, Allegheny County, Pennsylvania, 15237-5344, USA",40.5819343,-80.0378692
"East Pikeland Township, Pennsylvania",Chester County,"$31,774 ","East Pikeland Township, Chester County, Pennsylvania, United States of America",40.1323919,-75.56330293
"Silver Spring Township, Pennsylvania",Pike County,"$31,728 ","Silver Spring, Pike County, Pennsylvania, 18337, USA",41.2995381,-74.8487786
"Cheltenham Township, Pennsylvania",Montgomery County,"$31,424 ","Cheltenham Township, Montgomery County, Pennsylvania, USA",40.07795585,-75.13837289
"Aspinwall, Pennsylvania",Allegheny County,"$31,344 ","Aspinwall, Allegheny County, Pennsylvania, 15215X, USA",40.491242,-79.9035096
"Trappe, Pennsylvania",Montgomery County,"$31,281 ","Trappe, Montgomery County, Pennsylvania, USA",40.1996931,-75.4779074
"Plymouth Meeting, Pennsylvania",Montgomery County,"$31,254 ","Plymouth Meeting, 1-Mile footpath, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, USA",40.1105915,-75.28448701
"Upper Providence Township, Montgomery County, Pennsylvania",Montgomery County,"$31,251 ","Upper Providence Township, Montgomery County, Pennsylvania, USA",40.1718246,-75.49402613
"Skippack, Pennsylvania",Montgomery County,"$31,185 ","Skippack, Cholet Drive, Skippack Township, Montgomery County, Pennsylvania, 19430, USA",40.222763,-75.40315185
"Westmont, Pennsylvania",Cambria County,"$30,868 ","Westmont, Cambria County, Pennsylvania, USA",40.3156297,-78.9516928
"Evansburg, Pennsylvania",Montgomery County,"$30,830 ","Evansburg, Oldcrosskeys Road, Lower Providence Township, Montgomery County, Pennsylvania, 19246, USA",40.189831,-75.43503754
"Pottsgrove, Pennsylvania",Montgomery County,"$30,649 ","Pottsgrove, North Keim Street, Lower Pottsgrove Township, Montgomery County, Pennsylvania, 19464, United States of America",40.2626539,-75.6107976
"West Conshohocken, Pennsylvania",Montgomery County,"$30,627 ","West Conshohocken, Montgomery County, Pennsylvania, PA 19428, USA",40.0698321,-75.3162951
"Sewickley, Pennsylvania",Allegheny County,"$30,571 ","Sewickley, Allegheny County, Pennsylvania, USA",40.5364566,-80.1845031
"Paoli, Pennsylvania",Chester County,"$30,570 ","Paoli, Vanguard Boulevard, Tredyffrin Township, Chester County, Pennsylvania, 19301, USA",40.040739,-75.49284449
"Towamencin Township, Pennsylvania",Montgomery County,"$30,559 ","Towamencin Township, Montgomery County, Pennsylvania, USA",40.2464615,-75.33259426
"Upper Milford Township, Lehigh County, Pennsylvania",Lehigh County,"$30,454 ","Upper Milford Township, Lehigh County, Pennsylvania, USA",40.4920793,-75.52302934
"West Bradford Township, Pennsylvania",Chester County,"$30,405 ","West Bradford Township, Chester County, Pennsylvania, 19345, USA",39.9635414,-75.71515986
"New Garden Township, Pennsylvania",Chester County,"$30,364 ","New Garden Township, Chester County, Pennsylvania, USA",39.80343065,-75.75077557
"Abington Township, Montgomery County, Pennsylvania",Montgomery County,"$30,331 ","Abington Township, Montgomery County, Pennsylvania, USA",40.11016755,-75.11672188
"Lower Saucon Township, Pennsylvania",Northampton County,"$30,280 ","Lower Saucon Township, Northampton County, Pennsylvania, USA",40.5901175,-75.29725095
"East Whiteland Township, Pennsylvania",Chester County,"$30,258 ","East Whiteland Township, Chester County, Pennsylvania, 19355, USA",40.04779095,-75.55249783
"Lower Macungie Township, Lehigh County, Pennsylvania",Lehigh County,"$30,202 ","Lower Macungie Township Library & Community Center, North Brookside Road, Centreville, Lehigh County, Pennsylvania, 18062, United States of America",40.523052,-75.54746975
"Durham Township, Pennsylvania",Bucks County,"$29,913 ","Durham Township, Bucks County, Pennsylvania, USA",40.5725671,-75.21987113
"Jenkintown, Pennsylvania",Montgomery County,"$29,834 ","Jenkintown, Montgomery County, Pennsylvania, USA",40.0959385,-75.1256812
"Haverford Township, Pennsylvania",Delaware County,"$29,749 ","Haverford Township, Delaware County, Pennsylvania, USA",39.9861096,-75.31185767
"Salford Township, Pennsylvania",Montgomery County,"$29,740 ","Salford Township, Montgomery County, Pennsylvania, USA",40.34914465,-75.39682037
"Warwick Township, Bucks County, Pennsylvania",Bucks County,"$29,734 ","Warwick Township, Bucks County, Pennsylvania, 18929, USA",40.24918545,-75.07643322
"Laflin, Pennsylvania",Luzerne County,"$29,581 ","Laflin, Luzerne County, Pennsylvania, USA",41.2889696,-75.8054718
"New Kingstown, Pennsylvania",Cumberland County,"$29,541 ","New Kingstown, Dauphin Drive, New Kingstown, Cumberland County, Pennsylvania, 17072, United States of America",40.2313815,-77.07476151
